編號,選項名稱,影響股票數值,結果文字,Result,AudioID,備註
E07-C,把資料賣給競爭對手,"[LOCK,-5],[BYTE,+8],[NARC,+3]",你把黑資料賣給<color=yellow>拜特</color>，他們做成勒索工具。<color=yellow>洛克</color>名譽掃地。,"Data sold to ByteSec, LockDefense reputation ruined.",,LOCK跌BYTE漲
E08-A,用於金融詐騙,"[BYTE,+10],[NARC,-1]",深偽CEO影片騙過投資人，<color=yellow>拜特</color>獲利豐厚。<color=yellow>製藥</color>產業成了詐騙目標。,Deepfake CEO scam nets millions for ByteSec.,,主打BYTE上漲
E08-B,賣給<color=yellow>軍方</color>做心理戰,"[LOCK,+6],[BYTE,+2]",<color=yellow>洛克防務</color>買下技術用於戰場心理作戰，雙方都有利潤。,Military buys deepfake tech for psyops.,,主打LOCK上漲
E08-C,開源釋出製造混亂,"[BYTE,-7],[NARC,+3],[LOCK,+4]",你把技術免費開源，市場上人人都有深偽工具，<color=yellow>拜特</color>的獨家優勢消失。,"Tech goes open-source, ByteSec loses edge.",,主打BYTE下跌
E09-A,大筆投資當股東,"[NARC,+9],[LOCK,+1]",診所擴張成功，<color=yellow>藥品</color>需求暴增，<color=yellow>保全</color>服務也跟著水漲船高。,"Underground clinics boom, drug demand surges.",,主打NARC上漲
E09-B,只提供<color=yellow>藥品</color>供應,"[NARC,+2],[BYTE,-3]",你當供應商抽成，風險小利潤穩定，但規模有限。,"Drug supply deal secured, steady returns.",,穩定小漲
E09-C,拒絕並舉報搶地盤,"[NARC,-8],[LOCK,+1]",你把對手的計畫洩漏給當局，趁機搶佔他們的客源。,"Rival clinic reported, market share seized.",,主打NARC下跌
E10-A,入股劫持計畫,"[BYTE,+5],[LOCK,-10]",衛星被成功劫持，<color=yellow>洛克</color>無人機全數失聯。<color=yellow>拜特</color>公開叫賣存取權限。,"Satellite hijacked, LockDefense drones grounded.",,BYTE漲LOCK跌
E10-B,通知<color=yellow>洛克防務</color>換取回報,"[LOCK,+7],[BYTE,-6]",你把計畫洩漏給<color=yellow>洛克</color>，他們反制成功並追殺<color=yellow>駭客</color>。<color=yellow>拜特</color>勢力受挫。,"LockDefense counters hack, ByteSec network exposed.",,LOCK漲BYTE跌
E10-C,兩邊都不幫坐收漁利,"[NARC,+3],[LOCK,-2],[BYTE,-1]",雙方鬥到兩敗俱傷，你趁亂在<color=yellow>藥品</color>市場撿便宜。,"Both sides weakened, pharma picks up scraps.",,NARC小漲其餘跌
